Tx_ma,RX_ma,SRC_ma,DST_ma,0,RSSI,TX_rate,Time_sniff
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:20.242862
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:20.242932
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-53,39.0,2019-06-11 13:49:20.243356
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-52,39.0,2019-06-11 13:49:20.243803
b0:70:2d:ea:8d:1d,e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-40,65.0,2019-06-11 13:49:20.244152
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-50,39.0,2019-06-11 13:49:20.244343
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,227,-49,65.0,2019-06-11 13:49:20.268044
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,65.0,2019-06-11 13:49:20.271027
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:20.271152
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,65.0,2019-06-11 13:49:20.271958
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,65.0,2019-06-11 13:49:20.272108
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:20.273285
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-52,39.0,2019-06-11 13:49:20.275360
